0,1,2,3,4,5,6,7,8,9
"
INTERSPPL



","1,0250","-0,0300","-2,84%",25,15 238,"1,0750","1,0750","0,9980",02.01 16:33
"
INTROL



","9,4600","-0,1200","-1,25%",51,38 341,"9,4800","9,7000","9,3400",02.01 17:00
"
IPOPEMA



","4,0200","0,2400","6,35%",66,114 723,"3,8000","4,1800","3,8000",02.01 16:13
"
ITMTRADE



","0,1510","0,0000","0,00%",2,334,"0,1510","0,1510","0,1510",03.10 15:00
"
IZOBLOK



","47,0000","-1,2000","-2,49%",8,10 064,"47,0000","47,0000","45,0000",29.12 12:35
"
IZOLACJA



","3,6700","0,0300","0,82%",37,46 631,"3,7400","3,8500","3,6300",02.01 17:00
"
IZOSTAL



","2,7300","0,0800","3,02%",83,95 066,"2,6500","2,7400","2,6400",02.01 16:35
"
JSW



","41,2900","-0,7400","-1,76%",2 517,14 914 402,"42,0300","42,4800","40,8500",02.01 17:02
"
JWWINVEST



","4,4400","0,2600","6,22%",73,52 529,"4,0000","4,6000","4,0000",02.01 16:18
"
KCI



","0,9260","-0,0020","-0,22%",18,10 941,"0,9240","0,9280","0,9000",02.01 16:46
"
KERNEL



","9,3350","0,1850","2,02%",85,121 711,"9,2100","9,6000","9,2100",02.01 16:49
"
KETY



","723,0000","-22,0000","-2,95%",1 211,5 946 612,"745,0000","750,0000","723,0000",02.01 17:00
"
KGHM



","120,1500","-2,5500","-2,08%",6 247,56 786 168,"123,1000","123,8500","119,0000",02.01 17:04
"
KGL



","15,5000","0,6000","4,03%",20,52 059,"15,0000","15,8000","14,9000",02.01 16:12
"
KINOPOL



","15,1000","0,8500","5,96%",140,338 513,"14,6000","15,2500","14,6000",02.01 17:00
"
KOGENERA



","63,8000","-1,0000","-1,54%",355,995 518,"64,8000","66,4000","62,2000",02.01 17:00
"
KOMPAP



","19,0000","1,5000","8,57%",29,124 591,"18,5000","19,6000","18,0000",29.12 15:30
"
KOMPUTRON



","5,0400","0,0400","0,80%",103,56 948,"5,0600","5,3000","5,0000",02.01 16:43
"
KPPD



","58,4000","2,4000","4,29%",4,10 931,"55,8000","58,4000","55,8000",02.01 14:42
"
KRAKCHEM



","0,4020","-0,0080","-1,95%",8,7 377,"0,4100","0,4100","0,4000",02.01 16:34
"
KREC



","22,7000","0,0000","0,00%",3,4 540,"22,7000","22,7000","22,7000",15.09 09:28
"
KREDYTIN



","16,6000","1,3000","8,50%",56,25 645,"16,8000","18,4000","16,1000",02.01 17:00
"
KRKA



","488,0000","5,0000","1,04%",12,27 219,"483,0000","488,0000","483,0000",02.01 16:20
"
KRUK



","457,4000","-19,6000","-4,11%",2 067,13 230 184,"480,0000","481,6000","457,0000",02.01 17:00
"
KRVITAMIN



","13,5500","-0,2000","-1,45%",10,26 690,"14,2000","14,2000","13,5500",02.01 16:48
"
KSGAGRO



","1,6000","-0,0200","-1,23%",25,4 291,"1,6000","1,6100","1,5350",02.01 17:00
"
LABOPRINT



","16,1000","-0,1000","-0,62%",10,9 093,"16,3000","16,6000","16,1000",02.01 14:30
"
LARQ



","1,4800","0,0100","0,68%",4,2 340,"1,5000","1,5000","1,4800",02.01 14:46
"
LENA



","3,7800","0,2000","5,59%",116,139 685,"3,6200","3,7900","3,5800",02.01 16:46
"
LENTEX



","7,8000","0,1000","1,30%",13,18 455,"7,5000","7,8000","7,4600",02.01 17:00
"
LESS



","0,2120","0,0120","6,00%",140,74 235,"0,2000","0,2230","0,1960",02.01 17:00
"
LIBET



","1,3700","0,0700","5,38%",5,1 184,"1,4000","1,4000","1,3100",02.01 16:26
"
LOKUM



","25,0000","-0,4000","-1,57%",7,9 887,"25,4000","25,4000","25,0000",02.01 17:00
"
LOTOS



","79,0000","-0,1800","-0,23%",18 507,368 827 328,"79,0000","80,9200","78,9200",28.07 17:04
"
LPP



","15 710,0000","-480,0000","-2,96%",1 617,50 276 940,"16 190,0000","16 210,0000","15 620,0000",02.01 17:03
"
LSISOFT



","15,3000","0,1000","0,66%",21,107 980,"15,5000","15,5000","15,3000",02.01 15:40
"
LUBAWA



","2,5700","0,1180","4,81%",954,2 792 839,"2,4800","2,6300","2,4800",02.01 17:03
"
MABION



","18,9600","0,8100","4,46%",712,1 646 748,"18,1600","18,9600","18,1000",02.01 17:04
"
MAKARONPL



","22,0000","0,4000","1,85%",62,86 762,"21,8000","22,2000","21,6000",02.01 17:00
"
MANGATA



","93,0000","-0,5000","-0,53%",26,21 570,"95,0000","96,0000","92,5000",02.01 15:45
"
MANYDEV



","0,6400","-0,0200","-3,03%",12,1 346,"0,6600","0,6700","0,6100",29.12 17:00
"
MARVIPOL



","7,6800","-0,0600","-0,78%",75,123 937,"7,7600","7,9600","7,6800",02.01 16:28
"
MAXCOM



","9,3800","0,1200","1,30%",16,4 667,"9,2800","9,3800","9,2800",02.01 11:05
"
MBANK



","525,0000","-10,0000","-1,87%",2 551,18 695 688,"533,0000","535,0000","517,6000",02.01 17:03
